"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-01-15","MT","A",1086,,9,,3940,3940,188,23,,34,780929,6612,,,,,17,88635,88635,525,0,,,,,,82460,,0,869564,7137,,,,,,0,869564,7137
"2021-01-15","NC","A+",7933,7323,108,610,,,3916,0,,861,7277872,78630,,,,,,659840,596770,8914,0,,,,,,521475,,0,7937712,87544,,408021,,,,0,7874642,86135
"2021-01-15","ND","B",1395,,23,,3699,3699,88,10,539,10,291220,467,11953,,,,,95599,91837,221,0,1442,,,,,92551,1298741,4640,1298741,4640,13395,67850,,,386819,688,1374945,5442
"2021-01-15","NE","A",1818,,15,,5539,5539,465,19,,,700507,899,,,1686804,,,180131,180131,932,0,,,,,205736,124233,,0,1894614,7460,,,,,881078,1836,1894614,7460
"2021-01-15","NH","B",908,,11,,953,953,255,9,310,,518186,3363,,,,,,55500,40391,722,0,,,,,,48018,,0,1130805,8568,36863,98779,35519,,558577,3888,1130805,8568
"2021-01-15","NJ","A",20320,18229,67,2091,54180,54180,3543,176,,626,8060712,136196,,,,,438,616090,555299,6369,0,,,,,,61718,,0,8676802,142565,,,,,,0,8616011,141655
"2021-01-15","NM","A",2874,,38,,11005,11005,670,58,,,1965689,-14330,,,,,,161805,,1262,0,,,,,,84015,,0,2127494,-13068,,,,,,0,2127494,-13068
"2021-01-15","NV","A+",3698,,40,,,,1676,0,,418,1009350,3931,,,,,287,258050,258050,1878,0,,,,,,,2304127,14971,2304127,14971,,,,,1267400,5809,,0
"2021-01-15","NY","B",32566,,187,,89995,89995,8808,0,,1570,27252155,304729,,,,,962,1203550,,19942,0,,,,,,113919,28455705,324671,28455705,324671,,,,,,0,,0
"2021-01-15","OH","A+",10057,9030,67,1027,42807,42807,3793,316,6328,945,7648879,58066,,,,,646,814442,719642,7149,0,,58673,,,745149,669448,,0,8368521,63540,,1050019,,,,0,8368521,63540
